"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"492";"S";"de:09161:7622";"de:09161:7622";"IN, Keplerstraße";"48,77416";"11,40563";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"493";"Q";"de:09161:7622:0:1";"de:09161:7622";"1";"48,77416";"11,40563";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"494";"S";"de:09161:7623";"de:09161:7623";"IN, St. Pius / Kroppstraße";"48,77555";"11,41186";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"495";"Q";"de:09161:7623:0:1";"de:09161:7623";"1";"48,77554";"11,41186";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"496";"S";"de:09161:7624";"de:09161:7624";"IN, Kurt-Huber-Straße";"48,77201";"11,453";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"497";"Q";"de:09161:7624:0:1";"de:09161:7624";"1";"48,77207";"11,45273";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"498";"Q";"de:09161:7624:0:2";"de:09161:7624";"2";"48,77175";"11,45213";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"499";"Q";"de:09161:7624:0:4";"de:09161:7624";"4";"48,77222";"11,4542";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"500";"S";"de:09161:7625";"de:09161:7625";"IN, St. Pius / Mozartstraße";"48,77523";"11,41303";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"501";"Q";"de:09161:526:0:2";"de:09161:7625";"2";"48,77524";"11,41303";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"502";"S";"de:09161:7626";"de:09161:7626";"IN, Alban-Berg-Straße";"48,77421";"11,40691";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"503";"Q";"de:09161:7626:0:2";"de:09161:7626";"2";"48,77421";"11,40691";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"504";"S";"de:09161:7627";"de:09161:7627";"IN, Bunsenstraße";"48,74157";"11,4732";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"505";"Q";"de:09161:114:0:10";"de:09161:7627";"10";"48,74159";"11,47322";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"506";"Q";"de:09161:7627:0:1";"de:09161:7627";"1";"48,74223";"11,47342";"00000000";"-";"-";"-";"Unserved";"OutOfOrder";"";"BEG";"-";"-";"-"
"507";"Q";"de:09161:7627:0:2";"de:09161:7627";"99";"48,74151";"11,47309";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
